BV号,标题,UP主,UP主ID,播放量,弹幕数,点赞数,投币数,收藏数,分享数,时长秒,发布时间戳,分区,简介,排行榜分区,点赞率,投币率,收藏率,发布日期,时长分钟
BV16io9YTEqH,《崩坏：星穹铁道》动画短片：「那安息的长夜」,崩坏星穹铁道,1340190821,6610925,71852,506033,340468,179460,111248,1798,1743393600,手机游戏,"穿戴起令生命止步的王冠
死神也钟爱于低垂的眼帘
行过欢送的宫殿
与亡者的世界相连
 
在寒溟与葬仪声中
夜以继日地
俯身在这片雪土
成为此处唯一的歌
 
所有的叹息都从她的指尖涌出
所有的慰语都因她的",游戏,0.07654496155984224,0.051500811157288884,0.027145974277427137,2025-03-31 04:00:00,29.966666666666665
BV1HTZpYSExJ,《绝区零》星徽骑士EP丨拂晓之空 闪耀之誓,绝区零,1636034895,2040447,30448,240363,64588,37238,25483,250,1743472800,手机游戏,"黑色的星云正在暗中吞噬我们的世界，
以及那名为希望的光芒...

看！闪耀银河的徽章正在共鸣！
听！一阵强劲的音乐正在响起！

集合吧！驾驭星辰之力的战士们！
向群星宣誓，为守护而战！

▼ 制作名单",游戏,0.1177991881190739,0.03165384839694439,0.01824992268850894,2025-04-01 02:00:00,4.166666666666667
BV1JcZtYFEDq,《鸣潮》0.1版本PV | 缩拉里斯,鸣潮,1955897084,3218157,29055,280012,87887,46754,48995,71,1743476833,手机游戏,"……哦！？共鸣者们的样子……！
怎么都变小了！？

《鸣潮》全新0.1版本「缩拉里斯」，将不开启！马上前往官网，也下载不到。敬请期待！",游戏,0.08701004954077753,0.027309730382949,0.01452819113548531,2025-04-01 03:07:13,1.1833333333333333
BV1H5Z4YhEsn,海龟汤（2）,高斯Goh,3913194,10154681,35564,313746,111358,167543,6033,707,1743566400,桌游棋牌,"希望你喜欢这次的视频，这次玩了海龟汤。 
游戏的规则很简单： 
主持人会说故事的开头， 其他人需要通过问问题，来还原事情的全貌 
主持人只能回答是或不是、不重要、不知道等 
当故事猜得差不多时，主持人",游戏,0.030896686956488343,0.010966174122062525,0.016499090419482405,2025-04-02 04:00:00,11.783333333333333
BV1NLZHYxEdH,《ARK no NIGHTS》即将上映,明日方舟,161775300,2057011,11615,156005,44411,25387,54215,105,1743472800,手机游戏,"《ARK no NIGHTS》即将上映

详细活动玩法介绍请关注后续官方自媒体相关内容。",游戏,0.07584062506228698,0.021590064418712394,0.012341693846070829,2025-04-01 02:00:00,1.75
BV1GyZYYNErW,我的世界克苏鲁全集：一口气看完,这名玩家,411581408,24930430,11841,333621,72864,745095,5845,4236,1743289515,单机游戏,-,游戏,0.013382079651253508,0.002922693270834077,0.029886969458609417,2025-03-29 23:05:15,70.6
BV1GEZEYdEwn,《王 牌 空 姐》,老番茄,546195,3875912,8428,162809,23857,33540,2848,1447,1743415200,单机游戏,游戏：Cabin Crew Life Simulator,游戏,0.042005339646514164,0.006155196506009424,0.008653447240288221,2025-03-31 10:00:00,24.116666666666667
BV19AZWY3EHr,发个旧视频证明还在永久免费,慕讯公益,341626328,1625299,956,132597,86951,85426,11870,243,1743448031,网络游戏,"官网：mxfree.ao-x.ac.cn
慕讯官方公众号：慕讯
慕讯官方腾讯频道：慕讯生活频道
希望理解 开发者就俩 一个网站服务器一个软件数据库 实在没时间录新视频打理",游戏,0.08158314254792502,0.0534984639749363,0.05256017508163113,2025-03-31 19:07:11,4.05
BV1eqZJYaESc,“我花了5年一个人做的独立像素游戏4月17日就要上线啦！”,换影循迹官方,3546796078925892,3389379,38234,693090,161893,131945,7769,45,1743419846,单机游戏,"耗时五年，一人绘制的像素风解谜独立游戏《换影循迹》下个月4月17日正式登录Steam!

来玩玩我的Demo吧：https://store.steampowered.com/app/1928690/B",游戏,0.20448878688396901,0.0477647970321407,0.038928960142846226,2025-03-31 11:17:26,0.75
BV17tZhYMEDq,射手，我们该算算旧账了！,尴尬的铁根er,405370021,5069895,2296,144671,5193,13011,4537,204,1743504206,手机游戏,-,游戏,0.02853530497179922,0.0010242815679614666,0.0025663253380987182,2025-04-01 10:43:26,3.4
BV1qKZzYsECv,最感动结局《说谎公主与盲眼王子》,谢谢我很喜欢丨,190093869,6799377,2162,232062,41001,281387,14114,442,1743334969,单机游戏,,游戏,0.03412989160624569,0.006030111288137133,0.041384232702496124,2025-03-30 11:42:49,7.366666666666666
BV1bRZWYiEmb,4月1日版本更新速览丨新干员新武器即将加入！,三角洲行动,3494376565115651,2320468,3216,90762,6161,44454,23805,187,1743472800,网络游戏,"《牛角洲行动》4月1日更新，犄角墙饰道具即将移除，新武器、新干员一同加入！
威牛：“4月1日开启全新集市兑换配方哦，错过等一年！”",游戏,0.039113661554479526,0.00265506785700126,0.019157342398171403,2025-04-01 02:00:00,3.1166666666666667
BV1pJfNYrExn,当我在游戏里为“狙击手”拍照...【绝区零摄影第六期】,语堂天天啃土,74166016,2415076,754,289490,65051,76995,14295,172,1743573419,手机游戏,,游戏,0.11986786337158747,0.026935384228073983,0.031880984283724406,2025-04-02 05:56:59,2.8666666666666667
BV1j4Z4YpELF,请选择你的穿搭！永劫无间新模式“衣V衣”实机演示,永劫无间官方,349984754,2678009,4859,75601,5782,10559,37818,162,1743479409,网络游戏,"你们不要再打了啦，要打穿上衣服来打！
玩腻了PVP和PVE？那就来场衣V衣的决斗吧！永劫无间全新衣V衣玩法，专为时尚对决而生。
在衣V衣模式活用衣服赋予你的技能，成为战场上最美的那颗星！多种战斗玩法同",游戏,0.02823030094372349,0.0021590666797609718,0.003942854560981685,2025-04-01 03:50:09,2.7
BV1EKZnYkEqB,双影奇境 第八期，大结局，鲤鱼Ace解说,鲤鱼Ace,15634833,9981261,17334,109560,30831,201902,935,6629,1743417874,单机游戏,"双影奇境 第八期，发现隐藏关卡 | 鲤鱼Ace，此平台唯一官方认证账号，无任何小号
---------【特别提醒】---------
⛔请勿在他人作品中提及我，包括所有平台
⛔请勿相信其他任何自称是我",游戏,0.0109765689926353,0.0030888882677248897,0.020228105446796752,2025-03-31 10:44:34,110.48333333333333
BV1tNfAYVEDT,【崩铁】遐蝶综合测评：死龙一喷！武器对比+抽取建议+配队思路+星魂提升，砍队友型大C,卡特亚,43222001,3326227,25909,153339,28274,30099,9927,1188,1743566400,手机游戏,,游戏,0.046099980548531413,0.00850032183612243,0.009048991545074945,2025-04-02 04:00:00,19.8
BV1anZnYAERq,牛奶奶才是唯一真神.丨恐怖游戏《地狱钱汤》重制版03,小熊flippy,8730238,750247,9556,57646,58786,18669,2198,2340,1743413279,单机游戏,,游戏,0.07683602866789203,0.07835552824603097,0.02488380493357521,2025-03-31 09:27:59,39.0
BV1QTZWYBE8W,还有12小时，我们做了4年的游戏就要上线了……,开放空间官方,3546391223732410,1352364,914,52297,6152,38100,3032,293,1743446194,单机游戏,正式上线前，我想把开放空间真正的玩法，以及它未来的样子，分享给你们,游戏,0.038670801648077,0.004549071108074453,0.028172888364375273,2025-03-31 18:36:34,4.883333333333334
BV1T2ZBYuEwV,大合集,和平精英毁约y,1165399150,4747827,254,11705,3115,97208,103,888,1743333316,网络游戏,-,游戏,0.002465338353735298,0.0006560896174186633,0.020474208516864663,2025-03-30 11:15:16,14.8
BV1VmZqYUE87,就算失败，我也想知道自己倒在距离终点多远的地方,阿喵的小生活,410421425,5592218,7484,610876,174571,31233,23549,77,1743327000,电子竞技,-,游戏,0.10923680013905038,0.03121677302279704,0.005585082698850438,2025-03-30 09:30:00,1.2833333333333334
BV1ubZnYoEQY,飞！！雷！！神！！！！,江肥肠,3493118460561869,11208635,1897,141378,6866,171961,1458,94,1743420600,单机游戏,mod作者：@雄某人Deam ,游戏,0.012613311076683289,0.0006125634388130223,0.015341832435439283,2025-03-31 11:30:00,1.5666666666666667
BV17bZhYqEY3,【明日方舟】我成整合运动了？愚人节关卡攻略合集！  |魔法Zc目录,魔法Zc目录,13164144,2012025,2183,58575,7282,11120,3426,1343,1743503475,手机游戏,,游戏,0.029112461326275766,0.003619239323567053,0.005526770293609672,2025-04-01 10:31:15,22.383333333333333
BV1GnZnYAEwx,“可是遐蝶姐姐的手明明很温暖啊...尽情拥抱吧.”【遐蝶×好想爱这个世界啊】,念北风_,432072948,958238,16508,110839,48021,53875,9395,200,1743412686,GMV,"“可是遐蝶姐姐的手明明很温暖啊...尽情拥抱吧.”【遐蝶×好想爱这个世界啊】

bgm：华晨宇-好想爱这个世界啊",游戏,0.11566959356652523,0.050113854804338796,0.056222984269043805,2025-03-31 09:18:06,3.3333333333333335
