Rank,Title,Rating,Votes,Rating_Range,Votes_Range
1,肖申克的救赎,9.7,0,>9.0,<100K
2,霸王别姬,9.6,0,>9.0,<100K
3,泰坦尼克号,9.5,0,>9.0,<100K
4,阿甘正传,9.5,0,>9.0,<100K
5,千与千寻,9.4,0,>9.0,<100K
6,美丽人生,9.5,0,>9.0,<100K
7,星际穿越,9.4,0,>9.0,<100K
8,这个杀手不太冷,9.4,0,>9.0,<100K
9,盗梦空间,9.4,0,>9.0,<100K
10,楚门的世界,9.4,0,>9.0,<100K
11,辛德勒的名单,9.5,0,>9.0,<100K
12,忠犬八公的故事,9.4,0,>9.0,<100K
13,海上钢琴师,9.3,0,>9.0,<100K
14,疯狂动物城,9.3,0,>9.0,<100K
15,三傻大闹宝莱坞,9.2,0,>9.0,<100K
16,机器人总动员,9.3,0,>9.0,<100K
17,放牛班的春天,9.3,0,>9.0,<100K
18,无间道,9.3,0,>9.0,<100K
19,控方证人,9.6,0,>9.0,<100K
20,大话西游之大圣娶亲,9.2,0,>9.0,<100K
21,熔炉,9.3,0,>9.0,<100K
22,寻梦环游记,9.1,0,>9.0,<100K
23,触不可及,9.3,0,>9.0,<100K
24,教父,9.3,0,>9.0,<100K
25,末代皇帝,9.3,0,>9.0,<100K
26,当幸福来敲门,9.1,0,>9.0,<100K
27,哈利·波特与魔法石,9.2,0,>9.0,<100K
28,龙猫,9.2,0,>9.0,<100K
29,活着,9.3,0,>9.0,<100K
30,怦然心动,9.1,0,>9.0,<100K
31,蝙蝠侠：黑暗骑士,9.2,0,>9.0,<100K
32,指环王3：王者无敌,9.3,0,>9.0,<100K
33,我不是药神,9.0,0,8.5-9.0,<100K
34,乱世佳人,9.3,0,>9.0,<100K
35,飞屋环游记,9.1,0,>9.0,<100K
36,让子弹飞,9.0,0,8.5-9.0,<100K
37,哈尔的移动城堡,9.1,0,>9.0,<100K
38,十二怒汉,9.4,0,>9.0,<100K
39,海蒂和爷爷,9.3,0,>9.0,<100K
40,素媛,9.3,0,>9.0,<100K
41,猫鼠游戏,9.1,0,>9.0,<100K
42,天空之城,9.2,0,>9.0,<100K
43,鬼子来了,9.3,0,>9.0,<100K
44,摔跤吧！爸爸,9.0,0,8.5-9.0,<100K
45,少年派的奇幻漂流,9.1,0,>9.0,<100K
46,钢琴家,9.3,0,>9.0,<100K
47,指环王2：双塔奇兵,9.2,0,>9.0,<100K
48,死亡诗社,9.2,0,>9.0,<100K
49,大话西游之月光宝盒,9.0,0,8.5-9.0,<100K
50,何以为家,9.1,0,>9.0,<100K
